exit_variant,oracle,strategy_source,policy_or_group,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share
fixed_hold_longer_4x,False,trend_v3_extended,v3_4h_donchian_100_30_atr5,170,-2.857180000000004,-3.312658970000001,-3.996726906658412,8950,True,0.40588235294117647,0.8336951131235505,6.6763957863711925,0.9624590914289823,-3.0733240390383796,0.8774138878743971,0.1,0.041176470588235294
fixed_hold_longer_4x,False,trend_v3_extended,v3_4h_donchian_20_10_atr4,517,-1.8567300000000029,-3.175656599999998,-4.252817153921739,22114,True,0.4274661508704062,0.9252415727403119,9.719852201166804,1.0,-6.44072410120286,0.773357008849487,0.2553191489361702,0.2727272727272727
fixed_hold_longer_4x,False,trend_v3_extended,v3_4h_donchian_55_20_atr4,278,-13.600790000000005,-14.353183785000006,-15.129241672627302,13405,True,0.4172661870503597,0.6457148530129139,15.583610318671813,0.7347812776096014,-0.9922366603578412,0.8356138912417146,0.1618705035971223,0.12589928057553956
fixed_hold_longer_4x,False,trend_v3_extended,v3_4h_donchian_55_with_risk_filters,73,2.5786499999999983,2.429498674999999,2.158978031372516,3462,True,0.4657534246575342,1.3576992943638486,2.1525042633391824,0.8005507501886934,2.0853612071394383,0.850626059664431,0.1506849315068493,0.136986301369863
fixed_hold_longer_4x,False,trend_v3_extended,v3_4h_ema_50_200_atr4,1116,8.957779999999998,5.698880565000012,3.5156587851816195,25519,True,0.4292114695340502,1.0436704998067967,13.907773224343138,0.9746081907188505,14.205601340309247,0.48911952534432296,0.5761648745519713,0.4659498207885305
fixed_hold_longer_4x,False,trend_v3_extended,v3_4h_vol_compression_donchian_breakout,349,-6.404020000000001,-7.30140998,-8.12788172016975,14774,True,0.40974212034383956,0.7876668544428924,8.223210052815976,0.46844147534684677,-1.8246659740599742,0.748732009967741,0.2922636103151863,0.30945558739255014
fixed_hold_longer_4x,False,trend_v3_extended,v3_ensemble_core,1154,1.6401699999999995,-1.6668736499999977,-3.7775684409846395,27447,True,0.41854419410745236,0.9561404884899869,13.992861672728857,0.8084160161736615,-12.905921123660939,0.5051589516130462,0.5580589254766031,0.44540727902946275
fixed_hold_longer_4x,False,vsvcb_v1,A,17155,-120155.7105304159,-154465.7105304159,-154860.57210477587,37162,True,0.3998834159137278,0.5361261265547405,155342.96878319123,0.6088679201451074,-0.5355231883698885,0.12483022709947848,0.9410084523462547,0.6514135820460507
fixed_hold_longer_4x,False,vsvcb_v1,B,5963,-27790.195831990397,-39716.19583199039,-39747.34785062545,12715,True,0.3956062384705685,0.5979866445567825,39834.512793113536,0.5789145124585665,-0.7019450657559925,0.1181548587839194,0.9476773436189837,0.6607412376320644
fixed_hold_longer_4x,False,vsvcb_v1,C,12403,-98736.02127724494,-123542.02127724494,-123801.71659863631,27121,True,0.3923244376360558,0.5115491737873212,124147.98681895956,0.6000320182368677,-0.49227716085786627,0.12404283623881383,0.9424332822704184,0.6624203821656051
fixed_hold_longer_4x,False,vsvcb_v1,D,4220,-23842.2026182606,-32282.202618260595,-32264.13326995942,9081,True,0.38838862559241705,0.5736690999921303,32651.75321236012,0.6180467240747931,-0.6597736639004982,0.1206197493217824,0.9473933649289099,0.6691943127962086
fixed_hold_longer_4x,False,vsvcb_v1,E,4220,23842.2026182606,15402.202618260597,15384.133269959422,9081,True,0.5234597156398104,1.3035758628002703,5112.342324190911,0.9624577023796251,2.2844546679719357,0.1206197493217824,0.9473933649289099,0.6691943127962086
oracle_hold_to_trend_end,True,csrb_v1,A,11356,337872.0970726664,315160.0970726664,306924.39873837173,256068,True,0.5561817541387812,1.4646345914875032,44550.37573254822,0.3661847550419768,1.4598412155468559,0.5126172562621237,0.5008805917576612,0.6382529059528003
oracle_hold_to_trend_end,True,csrb_v1,B,2802,126546.58484151462,120942.58484151462,118566.46461530618,63109,True,0.5670949321912919,1.7743878944245997,30170.214986781575,0.5543152987002025,1.1606480829405899,0.5143723405615827,0.502498215560314,0.6409707351891506
oracle_hold_to_trend_end,True,csrb_v1,C,4097,68151.08872608005,59957.08872608005,58454.26631342817,94945,True,0.5667561630461313,1.2409464065857692,19315.148263261206,0.6100221616475217,2.103314328443995,0.5037781512008493,0.49743714913351234,0.6353429338540395
oracle_hold_to_trend_end,True,csrb_v1,D,6218,245316.2642250442,232880.2642250442,229731.27283695916,145975,True,0.6103248633000965,1.7294914437793651,24515.92418467448,0.45855039333525344,1.0053703177299327,0.5196766398042918,0.4782888388549373,0.6228690897394661
oracle_hold_to_trend_end,True,csrb_v1,E,6287,-186350.5763662001,-198924.5763662001,-195273.53856039734,143513,True,0.4011452202958486,0.6388781730516602,235640.41344758798,0.35752322924118995,-0.9916388722431649,0.5077643132384961,0.5008748210593288,0.6402099570542389
oracle_hold_to_trend_end,True,trend_v3_extended,v3_1d_donchian_20_10_atr4,89,21.564380000000003,21.331234405000004,20.400047353235617,5391,True,0.550561797752809,4.358001893800403,1.7697249457788438,0.44128662949170083,0.6570446550041144,0.9869746645172199,0.011235955056179775,0.02247191011235955
