split,policy_name,policy_family,month,trade_count,net_pnl,no_cost_pnl,win_rate,avg_trade,max_drawdown,max_ddpercent,active_symbol_count,avg_holding_minutes
train,v3_4h_donchian_55_20_atr4,4h_donchian,2025-06,11,-0.6076197850000012,-0.5622100000000009,0.2727272727272727,-0.05523816227272738,1.8668312149993653,0.03732722372663396,4,12610.90909090909
train,v3_4h_donchian_55_20_atr4,4h_donchian,2025-07,3,-0.3141831799999997,-0.29779999999999984,0.6666666666666666,-0.10472772666666656,1.092802500000289,0.02185275349503035,3,18880.0
train,v3_4h_donchian_55_20_atr4,4h_donchian,2025-08,10,-1.3201618350000004,-1.2643900000000003,0.3,-0.13201618350000005,2.4412996350001777,0.048815047021118725,3,13968.0
train,v3_4h_donchian_55_20_atr4,4h_donchian,2025-09,8,-0.784782509999999,-0.747299999999999,0.5,-0.09809781374999987,1.198432529999991,0.023968650599999818,5,9659.875
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,2025-01,2,-0.0077327049999999994,-0.007210000000000001,0.5,-0.0038663524999999997,0.01077625000016269,0.00021552500000325382,1,7560.0
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,2025-03,1,-0.0072282799999999,-0.0070399999999999,0.0,-0.0072282799999999,0.007228280000163068,0.00014456560000326136,1,5520.0
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,2025-05,2,-0.02112254,-0.020739999999999897,0.0,-0.01056127,0.021122539999851142,0.0004224507999970229,1,6480.0
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,2025-06,2,0.007871679999999898,0.0082199999999999,0.5,0.003935839999999949,0.0030070000002524466,6.0139869156570576e-05,1,8760.0
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,2025-07,2,1.0601504150000003,1.0756300000000003,1.0,0.5300752075000001,0.0,0.0,2,23280.0
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,2025-08,2,0.063882365,0.07127,0.5,0.0319411825,0.424939434999942,0.008497957902583187,1,14880.0
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,2025-09,2,0.16584149999999992,0.1703999999999999,0.5,0.08292074999999996,0.01371291499981453,0.0002742582999962906,2,7320.0
train,v3_4h_ema_50_200_atr4,4h_ema,2025-01,25,-0.8449348399999987,-0.7455399999999985,0.28,-0.03379739359999995,1.0541656249997686,0.021082430281307882,5,3888.0
train,v3_4h_ema_50_200_atr4,4h_ema,2025-02,20,0.04267788499999893,0.11454999999999878,0.2,0.0021338942499999464,0.46998610999980883,0.009398901284083282,5,4356.0
train,v3_4h_ema_50_200_atr4,4h_ema,2025-03,25,0.990293615000001,1.060590000000001,0.4,0.03961174460000004,0.27784569499999634,0.005555504869177627,5,4742.4
train,v3_4h_ema_50_200_atr4,4h_ema,2025-04,24,0.06829236000000041,0.11860000000000039,0.3333333333333333,0.002845515000000017,0.17806596999980684,0.003561180189523863,4,3990.0
train,v3_4h_ema_50_200_atr4,4h_ema,2025-05,35,0.8194155800000001,0.94452,0.22857142857142856,0.023411873714285717,0.664965994999875,0.013297707506965508,5,3702.8571428571427
train,v3_4h_ema_50_200_atr4,4h_ema,2025-06,29,-0.23360026499999914,-0.15126999999999927,0.3103448275862069,-0.008055181551724109,0.3812334849999388,0.00762444457573809,5,3500.689655172414
train,v3_4h_ema_50_200_atr4,4h_ema,2025-07,27,1.1517902,1.2696200000000002,0.2222222222222222,0.042658896296296295,0.5537092750000738,0.011074185500001476,5,4462.222222222223
train,v3_4h_ema_50_200_atr4,4h_ema,2025-08,34,-1.9040793499999966,-1.7523799999999963,0.11764705882352941,-0.056002333823529316,1.9040793499998472,0.03808158699999694,5,2505.8823529411766
train,v3_4h_ema_50_200_atr4,4h_ema,2025-09,45,-1.3515662349999988,-1.1194499999999987,0.28888888888888886,-0.030034805222222197,1.6352365100001407,0.03270357169036525,5,2634.6
train,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-01,4,-0.9421975949999993,-0.9225499999999994,0.0,-0.23554939874999983,0.9421975949999251,0.0188439518999985,4,6300.0
train,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-02,5,-0.4701175199999994,-0.4560399999999994,0.0,-0.09402350399999988,0.47011751999980333,0.009402350399996066,3,3072.0
train,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-03,8,-1.0691437149999992,-1.040989999999999,0.125,-0.1336429643749999,1.0827427750000425,0.02165479660302519,4,5880.0
train,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-04,9,-0.6903106849999987,-0.6708099999999986,0.2222222222222222,-0.07670118722222208,0.7067536149997977,0.014135072299995954,5,8266.666666666666
train,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-05,5,-0.4145028600000017,-0.39028000000000174,0.2,-0.08290057200000034,1.083178609999777,0.021660675406320978,4,13488.0
train,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-06,7,-0.2102296899999994,-0.1832799999999993,0.2857142857142857,-0.03003281285714277,0.797873399999844,0.01595559275925202,3,8022.857142857143
train,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-07,10,0.4431809400000011,0.47754000000000135,0.2,0.044318094000000106,0.882829015000425,0.0176565803000085,5,6288.0
train,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-08,9,-1.5059550999999995,-1.4605199999999996,0.2222222222222222,-0.1673283444444444,1.6096771600005013,0.032192875377739724,5,6346.666666666667
train,v3_4h_vol_compression_donchian_breakout,vol_compression,2025-09,9,0.6066380649999996,0.6256499999999996,0.6666666666666666,0.06740422944444441,0.0334655799997563,0.0006692259252043157,4,9546.333333333334
train,v3_ensemble_core,ensemble,2025-01,26,-1.2833414949999988,-1.1737899999999983,0.2692307692307692,-0.04935928826923072,1.4925722799998766,0.029850196483988983,5,3876.923076923077
