family,hold_label,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution
pre_breakout_momentum_acceleration,fixed_hold_8h,LINKUSDT_SWAP_OKX.GLOBAL,587,27.288228802985458,-559.7117711970145,-528.734252132381,587,True,0.48722316865417375,0.8949616865824411,865.9023247258937,1.0,-3.1448928959371547
pre_breakout_momentum_acceleration,fixed_hold_8h,SOLUSDT_SWAP_OKX.GLOBAL,559,223.64044178513387,-335.3595582148662,-308.2241569094646,558,True,0.4543828264758497,0.9452243437965274,964.5319029313982,1.0,-7.0289462131324685
relative_strength_leader,fixed_hold_10d,BTCUSDT_SWAP_OKX.GLOBAL,471,-1355.4130604903412,-1826.4130604903407,-1101.8710962852208,14112,True,0.49469214437367304,0.9148233577720262,2721.891850878745,1.0,-3.263611298764406
relative_strength_leader,fixed_hold_10d,DOGEUSDT_SWAP_OKX.GLOBAL,516,15553.590584729562,15037.590584729562,15862.736611812596,15399,True,0.5794573643410853,1.860638610185118,3303.630361614739,1.0,0.578898723842667
relative_strength_leader,fixed_hold_10d,ETHUSDT_SWAP_OKX.GLOBAL,495,5540.09719960729,5045.09719960729,5675.036753308254,14817,True,0.5535353535353535,1.3534947180417392,2824.199258863974,1.0,1.117191454714735
relative_strength_leader,fixed_hold_10d,LINKUSDT_SWAP_OKX.GLOBAL,530,1025.8121696217086,495.81216962170765,1290.7492089174302,15792,True,0.5113207547169811,1.0525466859668022,6138.727941892141,1.0,5.700096086088883
relative_strength_leader,fixed_hold_10d,SOLUSDT_SWAP_OKX.GLOBAL,534,6841.451990387084,6307.451990387084,6701.190085007453,15855,True,0.5187265917602997,1.2510903525500245,6033.9411336940175,1.0,1.455264301659597
relative_strength_leader,fixed_hold_1d,BTCUSDT_SWAP_OKX.GLOBAL,1985,-1051.4117423747252,-3036.4117423747257,-2735.7594075537854,5951,True,0.45390428211586903,0.8433231412528769,2973.6297752507094,1.0,-1.891125669094323
relative_strength_leader,fixed_hold_1d,DOGEUSDT_SWAP_OKX.GLOBAL,2071,3863.450470740629,1792.4504707406284,2125.0977040947073,6203,True,0.4896185417672622,1.062039511012151,2217.507242592508,1.0,6.552419790897687
relative_strength_leader,fixed_hold_1d,ETHUSDT_SWAP_OKX.GLOBAL,1977,868.7626762193349,-1108.2373237806653,-861.658826934779,5926,True,0.469903894790086,0.96467738593724,2774.1456364828537,1.0,-10.651751311173378
relative_strength_leader,fixed_hold_1d,LINKUSDT_SWAP_OKX.GLOBAL,2071,714.96390421426,-1356.03609578574,-1100.2123060108895,6207,True,0.4852728150651859,0.967962424442132,2986.1366239394392,1.0,-11.028005673926035
relative_strength_leader,fixed_hold_1d,SOLUSDT_SWAP_OKX.GLOBAL,2061,2912.716053009484,851.7160530094839,1002.7299307768901,6176,True,0.4973313925278991,1.026700681526348,3780.0131734821853,1.0,15.798870867739833
relative_strength_leader,fixed_hold_3d,BTCUSDT_SWAP_OKX.GLOBAL,1985,-3493.6586153931507,-5478.658615393151,-4564.304476906105,17841,True,0.4649874055415617,0.8506960078934761,5407.294184277908,1.0,-1.855793075883848
