group,event_group,hold,split,timeframe,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
D,random_score_matched_control,hold_1d,oos_ext,1d,194,-22.983379921759763,-410.98337992175976,-22.049545738795498,-433.0329256605553,-0.00011847103052453509,0.4845360824742268
D,random_score_matched_control,hold_1d,oos_ext,4h,1267,4478.4252121283835,1944.425212128383,-79.0321245197625,1865.3930876086215,0.00353466867571301,0.4996053670086819
D,random_score_matched_control,hold_1d,train_ext,1d,298,1267.7375342962164,671.7375342962163,-52.7583095393856,618.9792247568307,0.004254152799651732,0.5201342281879194
D,random_score_matched_control,hold_1d,train_ext,4h,1873,8389.610596299117,4643.610596299116,-165.29111593572662,4478.31948036339,0.0044792368373193355,0.4847837693539776
D,random_score_matched_control,hold_1d,validation_ext,1d,231,697.9147662929215,235.91476629292157,-37.5503828680394,198.36438342488202,0.0030212760445581014,0.4675324675324675
D,random_score_matched_control,hold_1d,validation_ext,4h,1356,4173.757140349228,1461.7571403492286,-116.900394991866,1344.8567453573623,0.003077991991407986,0.48525073746312686
D,random_score_matched_control,hold_3d,oos_ext,1d,194,1270.2171567163168,882.217156716317,-42.4233529327293,839.7938037835879,0.006547511117094418,0.4896907216494845
D,random_score_matched_control,hold_3d,oos_ext,4h,1267,10810.650117182082,8276.650117182082,-176.0404334796678,8100.609683702414,0.00853247838767331,0.531965272296764
D,random_score_matched_control,hold_3d,train_ext,1d,298,3410.2194787263206,2814.2194787263206,-140.26734685311692,2673.952131873204,0.011443689525927248,0.5604026845637584
D,random_score_matched_control,hold_3d,train_ext,4h,1873,15634.224826830461,11888.22482683046,-548.8224860632046,11339.402340767256,0.008347156874976221,0.5339028296849974
D,random_score_matched_control,hold_3d,validation_ext,1d,231,2696.3606472881665,2234.3606472881665,-85.4669791102818,2148.8936681778846,0.011672556914667391,0.5238095238095238
D,random_score_matched_control,hold_3d,validation_ext,4h,1356,1984.0246349898407,-727.9753650101602,-283.6391120467395,-1011.6144770568994,0.0014631450110544546,0.5176991150442478
D,random_score_matched_control,hold_4h,oos_ext,1d,194,-22.983379921759763,-410.98337992175976,-22.049545738795498,-433.0329256605553,-0.00011847103052453509,0.4845360824742268
D,random_score_matched_control,hold_4h,oos_ext,4h,1267,1540.9951301863914,-993.0048698136087,-24.5842558975943,-1017.5891257112029,0.0012162550356640818,0.425414364640884
D,random_score_matched_control,hold_4h,train_ext,1d,298,1267.7375342962164,671.7375342962163,-52.7583095393856,618.9792247568307,0.004254152799651732,0.5201342281879194
D,random_score_matched_control,hold_4h,train_ext,4h,1873,1251.2481311505662,-2494.751868849434,-43.6548344789276,-2538.406703328361,0.000668044917859352,0.41217298451681794
D,random_score_matched_control,hold_4h,validation_ext,1d,231,697.9147662929215,235.91476629292157,-37.5503828680394,198.36438342488202,0.0030212760445581014,0.4675324675324675
D,random_score_matched_control,hold_4h,validation_ext,4h,1356,-618.0466478965864,-3330.0466478965864,-33.2142447374218,-3363.260892634008,-0.0004557866134930577,0.4314159292035398
D,random_score_matched_control,hold_8h,oos_ext,1d,194,-22.983379921759763,-410.98337992175976,-22.049545738795498,-433.0329256605553,-0.00011847103052453509,0.4845360824742268
D,random_score_matched_control,hold_8h,oos_ext,4h,1267,1195.6700446722994,-1338.3299553277006,-34.421107325669794,-1372.7510626533701,0.0009437016927168898,0.4340962904498816
D,random_score_matched_control,hold_8h,train_ext,1d,298,1267.7375342962164,671.7375342962163,-52.7583095393856,618.9792247568307,0.004254152799651732,0.5201342281879194
D,random_score_matched_control,hold_8h,train_ext,4h,1873,2889.6280732700407,-856.3719267299589,-64.60246716595529,-920.9743938959142,0.001542780605056082,0.44901227976508273
D,random_score_matched_control,hold_8h,validation_ext,1d,231,697.9147662929215,235.91476629292157,-37.5503828680394,198.36438342488202,0.0030212760445581014,0.4675324675324675
D,random_score_matched_control,hold_8h,validation_ext,4h,1356,869.6499898640279,-1842.3500101359718,-50.9466654562729,-1893.2966755922448,0.0006413348007846814,0.4528023598820059
E,reverse_direction_test,hold_1d,oos_ext,1d,243,-435.54481194127584,-921.5448119412754,6.822943784026799,-914.7218681572489,-0.0017923654812398173,0.45267489711934156
E,reverse_direction_test,hold_1d,oos_ext,4h,1218,-3546.891300574349,-5982.891300574349,11.789498496512701,-5971.101802077836,-0.0029120618231316497,0.44417077175697867
E,reverse_direction_test,hold_1d,train_ext,1d,266,-514.2604976313964,-1046.2604976313967,-7.800237328249503,-1054.0607349596464,-0.0019333101414714161,0.46616541353383456
E,reverse_direction_test,hold_1d,train_ext,4h,1905,2003.1137310362328,-1806.8862689637663,-42.49566538038509,-1849.381934344151,0.0010515032708851622,0.43832020997375326
E,reverse_direction_test,hold_1d,validation_ext,1d,172,-901.1123489292711,-1245.112348929271,20.762294778192,-1224.350054151079,-0.005239025284472506,0.4011627906976744
E,reverse_direction_test,hold_1d,validation_ext,4h,1415,4918.525598258579,2088.5255982585786,-16.898422930220196,2071.627175328358,0.0034759898220908677,0.49964664310954066
E,reverse_direction_test,hold_3d,oos_ext,1d,243,-1887.3759848972538,-2373.375984897253,10.9512028897964,-2362.424782007458,-0.007766979361717095,0.4691358024691358
E,reverse_direction_test,hold_3d,oos_ext,4h,1218,-7238.198094951181,-9674.198094951182,32.051795624073605,-9642.146299327109,-0.005942691375165174,0.43924466338259444
E,reverse_direction_test,hold_3d,train_ext,1d,266,318.4583321843473,-213.54166781565266,-31.14102827476861,-244.68269609042147,0.0011972117751291255,0.5112781954887218
E,reverse_direction_test,hold_3d,train_ext,4h,1905,13321.855784337795,9511.855784337793,-91.96709725953608,9419.888687078259,0.006993100149258685,0.4388451443569554
E,reverse_direction_test,hold_3d,validation_ext,1d,172,-2508.2912758252833,-2852.2912758252833,52.01844641788199,-2800.272829407401,-0.01458308881293769,0.4186046511627907
E,reverse_direction_test,hold_3d,validation_ext,4h,1415,7096.307101320916,4266.3071013209155,-67.7705274872731,4198.536573833643,0.005015058022134923,0.5222614840989399
E,reverse_direction_test,hold_4h,oos_ext,1d,243,-435.54481194127584,-921.5448119412754,6.822943784026799,-914.7218681572489,-0.0017923654812398173,0.45267489711934156
E,reverse_direction_test,hold_4h,oos_ext,4h,1218,-195.33214097947166,-2631.3321409794717,1.2821439588703996,-2630.0499970206015,-0.00016037121591089642,0.43842364532019706
E,reverse_direction_test,hold_4h,train_ext,1d,266,-514.2604976313964,-1046.2604976313967,-7.800237328249503,-1054.0607349596464,-0.0019333101414714161,0.46616541353383456
E,reverse_direction_test,hold_4h,train_ext,4h,1905,1899.3282579389688,-1910.6717420610314,-3.637497064299895,-1914.3092391253308,0.000997022707579511,0.4015748031496063
E,reverse_direction_test,hold_4h,validation_ext,1d,172,-901.1123489292711,-1245.112348929271,20.762294778192,-1224.350054151079,-0.005239025284472506,0.4011627906976744
E,reverse_direction_test,hold_4h,validation_ext,4h,1415,1991.6536278732185,-838.3463721267814,-3.9732364534829983,-842.3196085802642,0.0014075290656347834,0.44240282685512367
E,reverse_direction_test,hold_8h,oos_ext,1d,243,-435.54481194127584,-921.5448119412754,6.822943784026799,-914.7218681572489,-0.0017923654812398173,0.45267489711934156
E,reverse_direction_test,hold_8h,oos_ext,4h,1218,-757.3030002821789,-3193.3030002821793,0.28158882127090035,-3193.021411460908,-0.0006217594419393917,0.4490968801313629
E,reverse_direction_test,hold_8h,train_ext,1d,266,-514.2604976313964,-1046.2604976313967,-7.800237328249503,-1054.0607349596464,-0.0019333101414714161,0.46616541353383456
E,reverse_direction_test,hold_8h,train_ext,4h,1905,1304.1447419996002,-2505.8552580003998,-12.152606249637099,-2518.0078642500366,0.0006845904157478217,0.42152230971128607
E,reverse_direction_test,hold_8h,validation_ext,1d,172,-901.1123489292711,-1245.112348929271,20.762294778192,-1224.350054151079,-0.005239025284472506,0.4011627906976744
E,reverse_direction_test,hold_8h,validation_ext,4h,1415,3132.191786572865,302.19178657286534,-3.8500615956710007,298.3417249771936,0.002213563100051495,0.4742049469964664
