group,timeframe,split,symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,mfe_mean,mae_mean,mfe_mae_ratio_mean,max_drawdown,max_drawdown_pct
C,1h,validation,SOLUSDT_SWAP_OKX.GLOBAL,53,33,20,-4550.130863197453,-4656.130863197453,-1.7838563981770001,-4657.914719595631,-0.08585152572070667,0.37735849056603776,0.11368001071005181,-0.14206355619368632,7.843824413339858,4792.2091156496135,4.224837160723789
C,30m,oos,BTCUSDT_SWAP_OKX.GLOBAL,242,114,128,-1332.4276859863062,-1816.427685986306,-0.8317130784977,-1817.2593990648036,-0.0055058995288690335,0.23140495867768596,0.010146381911169056,-0.016681935236989475,6.508076743692286,1840.629085824076,1.7985964501770977
C,30m,oos,ETHUSDT_SWAP_OKX.GLOBAL,240,119,121,-3088.679870863148,-3568.679870863148,-1.1406906946172,-3569.820561557766,-0.012869499461929784,0.3458333333333333,0.028560948214880623,-0.04239816384898472,5.333671043639364,3774.088284830735,3.6261769707509126
C,30m,oos,SOLUSDT_SWAP_OKX.GLOBAL,136,67,69,-1192.3347456787537,-1464.3347456787537,-5.8594156778593005,-1470.194161356613,-0.008767167247637894,0.2867647058823529,0.03720540542603655,-0.03705074881139442,2.7645508944566752,1516.0311397112616,1.4495864757969648
C,30m,train,BTCUSDT_SWAP_OKX.GLOBAL,758,406,352,-891.5966838763203,-2407.59668387632,-0.3642336240827002,-2407.9609175004025,-0.0011762489233196837,0.3812664907651715,0.015467659505895669,-0.013666939587651986,12.450247632183912,2474.836149440842,2.3573917698819638
C,30m,train,ETHUSDT_SWAP_OKX.GLOBAL,805,410,395,-1804.982934598875,-3414.9829345988746,2.624190995807001,-3412.3587436030684,-0.002242214825588665,0.3565217391304348,0.016500075361358082,-0.015935064469804115,27.607309046019424,3488.4065370366457,3.3546731328704626
C,30m,train,SOLUSDT_SWAP_OKX.GLOBAL,701,354,347,-11980.25582538999,-13382.25582538999,8.2492534652472,-13374.006571924743,-0.017090236555477874,0.37945791726105566,0.04152148040450368,-0.040658862816848815,10.364477932032381,13376.398445888923,13.344480131297392
C,30m,validation,BTCUSDT_SWAP_OKX.GLOBAL,207,101,106,-620.5108423992675,-1034.5108423992674,0.8229036927535001,-1033.687938706514,-0.0029976369198032246,0.30434782608695654,0.013650918788117843,-0.014600896155915487,4.359098976118852,1011.8953511612469,1.0344384414568855
C,30m,validation,ETHUSDT_SWAP_OKX.GLOBAL,208,97,111,-949.2765531736258,-1365.2765531736259,-0.26822539747000007,-1365.544778571096,-0.004563829582565509,0.35096153846153844,0.022584886440262478,-0.025797602120233375,4.429511678674757,1369.9027910415075,1.369270971373854
C,30m,validation,SOLUSDT_SWAP_OKX.GLOBAL,134,61,73,-13369.954822115844,-13637.954822115842,-0.5146602158866,-13638.469482331733,-0.09977578225459587,0.3358208955223881,0.09768902242894685,-0.14437496824125517,20.136334955335172,13721.654169334171,12.667880495344667
