filter_name,policy_name,split,original_trade_count,filtered_trade_count,removed_trade_count,removed_trade_pct,original_net_pnl,filtered_net_pnl,pnl_delta,did_filter_change_trade_set
trend_friendly_only,v3_4h_ema_50_200_atr4,train_ext,491,25,466,0.9490835030549898,0.5210463000000167,-0.34586542999999903,-0.8669117300000158,True
trend_friendly_only,v3_4h_ema_50_200_atr4,validation_ext,312,2,310,0.9935897435897436,1.9557614000000103,0.054518975000000004,-1.9012424250000104,True
trend_friendly_only,v3_4h_ema_50_200_atr4,oos_ext,313,0,313,1.0,-6.26843713499999,0.0,6.26843713499999,True
original_all,v3_4h_vol_compression_donchian_breakout,train_ext,176,176,0,0.0,-1.4171260649999982,-1.4171260649999982,0.0,False
original_all,v3_4h_vol_compression_donchian_breakout,validation_ext,94,94,0,0.0,-5.771197169999996,-5.771197169999996,0.0,False
original_all,v3_4h_vol_compression_donchian_breakout,oos_ext,79,79,0,0.0,-3.5898067449999997,-3.5898067449999997,0.0,False
keep_trend_friendly,v3_4h_vol_compression_donchian_breakout,train_ext,176,12,164,0.9318181818181818,-1.4171260649999982,0.2928799649999999,1.710006029999998,True
keep_trend_friendly,v3_4h_vol_compression_donchian_breakout,validation_ext,94,0,94,1.0,-5.771197169999996,0.0,5.771197169999996,True
keep_trend_friendly,v3_4h_vol_compression_donchian_breakout,oos_ext,79,0,79,1.0,-3.5898067449999997,0.0,3.5898067449999997,True
exclude_hostile_chop_overheated,v3_4h_vol_compression_donchian_breakout,train_ext,176,157,19,0.10795454545454546,-1.4171260649999982,0.6976456350000018,2.1147717,True
exclude_hostile_chop_overheated,v3_4h_vol_compression_donchian_breakout,validation_ext,94,87,7,0.07446808510638298,-5.771197169999996,-4.844435974999997,0.9267611949999992,True
exclude_hostile_chop_overheated,v3_4h_vol_compression_donchian_breakout,oos_ext,79,79,0,0.0,-3.5898067449999997,-3.5898067449999997,0.0,False
keep_trend_friendly_exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,train_ext,176,12,164,0.9318181818181818,-1.4171260649999982,0.2928799649999999,1.710006029999998,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,validation_ext,94,0,94,1.0,-5.771197169999996,0.0,5.771197169999996,True
keep_trend_friendly_exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,oos_ext,79,0,79,1.0,-3.5898067449999997,0.0,3.5898067449999997,True
exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,train_ext,176,172,4,0.022727272727272728,-1.4171260649999982,-0.521465479999999,0.8956605849999991,True
exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,validation_ext,94,94,0,0.0,-5.771197169999996,-5.771197169999996,0.0,False
exclude_funding_overheated,v3_4h_vol_compression_donchian_breakout,oos_ext,79,79,0,0.0,-3.5898067449999997,-3.5898067449999997,0.0,False
trend_friendly_only,v3_4h_vol_compression_donchian_breakout,train_ext,176,12,164,0.9318181818181818,-1.4171260649999982,0.2928799649999999,1.710006029999998,True
